merge_factor,Ndaphnia,X240m,death.p,phylo
Telicota ancilla,90,10,0.111111111,BN000803_LEP37050_Hesperiidae_Hesperiinae_Taractrocerini_Telicota_augias_augias
Telicota mesoptis,111,39,0.352066116,BN000803_LEP37050_Hesperiidae_Hesperiinae_Taractrocerini_Telicota_augias_augias
Theclinesthes onycha,90,55,0.611111111,BN003991_MFB00P612_Lycaenidae_Polyommatinae_Polyommatini_Theclinesthes_miskini
Tisiphone abeona,103,10,0.093076923,BN003853_RE05C007_Nymphalidae_Satyrinae_Satyrini_Tisiphone_abeona
Toxidia peron,100,12,0.12,BN000840_111_Hesperiidae_Trapezitinae_X_Toxidia_peron
Trapezites symmomus,50,10,0.2,BN000850_89_Hesperiidae_Trapezitinae_X_Trapezites_symmomus
Vanessa kershawi,40,8,0.2,BN007174_LEP28963_Nymphalidae_Nymphalinae_Nymphalini_Vanessa_indica
Ypthima arctous,50,13,0.26,LEP25269_X_Nymphalidae_Satyrinae_Satyrini_Ypthima_argus_X_ME
Zizina otis_Female,60,24,0.4,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
Zizina otis_Male,60,26,0.433333333,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
Zizula hylax,50,32,0.64,BN003906_DL09X120_Lycaenidae_Polyommatinae_Polyommatini_Zizula_hylax
